iter	Logloss
0	0.4336567066
1	0.2748857012
2	0.1845498197
3	0.1276769822
4	0.08976518299
5	0.06781926723
6	0.05199954359
7	0.04207105666
8	0.03318435537
9	0.02889153355
10	0.02437854125
11	0.02151948805
12	0.01846665788
13	0.01710216969
14	0.0152501911
15	0.01380272934
16	0.01294581013
17	0.01198145809
18	0.01160652193
19	0.01134510856
20	0.01111644091
21	0.0109116872
22	0.01068866675
23	0.01048249193
24	0.01034432723
25	0.01000606235
26	0.009768967981
27	0.009213403349
28	0.009082561769
29	0.008958278635
30	0.008811041286
31	0.008293530904
32	0.007854710411
33	0.007401264828
34	0.007312183688
35	0.007039980755
36	0.006836410317
37	0.00651508255
38	0.006372134672
39	0.006273854843
40	0.006034072769
41	0.005856555855
42	0.005737534043
43	0.005688652875
44	0.005666603684
45	0.00546634253
46	0.005337704467
47	0.005166673911
48	0.005151873705
49	0.00509638895
50	0.005066810102
51	0.00501438614
52	0.004996122306
53	0.004943264138
54	0.004837809775
55	0.004809947497
56	0.004775139254
57	0.004669097121
58	0.0046441442
59	0.004533654409
60	0.004533654409
61	0.004513382337
62	0.004420420868
63	0.004295635921
64	0.004248993654
65	0.004186438029
66	0.004140532817
67	0.004121824252
68	0.003998043706
69	0.003884786303
70	0.00387842065
71	0.003776630348
72	0.003680265465
73	0.003607507397
74	0.003596864726
75	0.003524361332
76	0.00346971277
77	0.003390445974
78	0.003294342139
79	0.003223495615
80	0.003207611163
81	0.003158333343
82	0.003121794057
83	0.003071302099
84	0.003000918309
85	0.002922654658
86	0.00280890937
87	0.002772593684
88	0.002728292869
89	0.002694878447
90	0.002678952226
91	0.002645821657
92	0.002601766246
93	0.002578535973
94	0.002512351929
95	0.002453493168
96	0.002416147078
97	0.002374732273
98	0.002350193156
99	0.002319415696
100	0.002292318771
101	0.002212389575
102	0.002166079934
103	0.002143395451
104	0.002091782174
105	0.002084801428
106	0.00205544774
107	0.002031927595
108	0.002012849154
109	0.001984843214
110	0.001961130909
111	0.001930958577
112	0.001930958577
113	0.001930958577
114	0.001899808556
115	0.001899803203
116	0.001899803203
