iter	Passed	Remaining
727	9034	893
728	9046	881
729	9057	868
730	9068	856
731	9079	843
732	9091	830
733	9102	818
734	9113	805
735	9124	793
736	9136	781
737	9147	768
738	9158	756
739	9169	743
740	9180	730
741	9191	718
742	9202	705
743	9213	693
744	9224	681
745	9235	668
746	9247	656
747	9258	643
748	9269	631
749	9280	618
750	9291	606
751	9302	593
752	9313	581
753	9324	568
754	9335	556
755	9346	543
756	9358	531
757	9369	519
758	9380	506
759	9390	494
760	9401	481
761	9412	469
762	9424	457
763	9435	444
764	9446	432
765	9457	419
766	9468	407
767	9479	394
768	9490	382
769	9502	370
770	9513	357
771	9525	345
772	9538	333
773	9549	320
774	9560	308
775	9572	296
776	9584	283
777	9595	271
778	9606	258
779	9617	246
780	9627	234
781	9639	221
782	9651	209
783	9662	197
784	9674	184
785	9685	172
786	9696	160
787	9707	147
788	9718	135
789	9730	123
790	9741	110
791	9751	98
792	9762	86
793	9773	73
794	9784	61
795	9795	49
796	9807	36
797	9818	24
798	9829	12
799	9840	0
